room_id,survey_id,host_id,room_type,city,reviews,overall_satisfaction,accommodates,bedrooms,price
12188215,1498,7938475,Entire home/apt,Asheville,30,5,4,1,125
15091721,1498,46001530,Entire home/apt,Asheville,45,5,2,1,130
13885189,1498,34480315,Entire home/apt,Asheville,16,5,4,2,130
16163635,1498,1482216,Entire home/apt,Asheville,10,5,6,2,135
13726994,1498,62524346,Entire home/apt,Asheville,5,4.5,2,1,125
6713809,1498,4868960,Entire home/apt,Asheville,2,0,4,1,130
18934320,1498,4070927,Entire home/apt,Asheville,1,0,2,1,125
10545839,1498,1766838,Entire home/apt,Asheville,51,5,4,1,139
13225039,1498,74219755,Entire home/apt,Asheville,23,5,4,2,125
10307715,1498,53036499,Entire home/apt,Asheville,2,0,2,1,125
19118629,1498,128125554,Entire home/apt,Asheville,6,5,4,0,140
13348419,1498,57640272,Entire home/apt,Asheville,22,5,4,1,130
6599654,1498,2363511,Entire home/apt,Asheville,72,5,4,2,125
14934441,1498,20943262,Entire home/apt,Asheville,48,5,10,3,140
2454666,1498,10240937,Entire home/apt,Asheville,100,5,4,2,140
14992285,1498,34049461,Entire home/apt,Asheville,9,5,3,2,125
15009504,1498,94713501,Entire home/apt,Asheville,53,5,4,2,139
2925486,1498,14937363,Entire home/apt,Asheville,95,5,4,1,135
19262092,1498,16954978,Entire home/apt,Asheville,2,0,2,1,128
405981,1498,2023465,Entire home/apt,Asheville,181,5,2,1,130
597424,1498,335286,Entire home/apt,Asheville,117,5,6,2,140
17554056,1498,42391889,Entire home/apt,Asheville,5,5,5,2,134
9464561,1498,14338375,Entire home/apt,Asheville,92,5,2,1,135
10884543,1498,56398087,Entire home/apt,Asheville,67,5,4,2,135
11421709,1498,25316948,Entire home/apt,Asheville,75,5,2,1,125
13274313,1498,16465325,Entire home/apt,Asheville,35,5,2,1,135
3563399,1498,10654807,Entire home/apt,Asheville,127,5,2,1,125
6415234,1498,19960302,Entire home/apt,Asheville,27,5,2,1,120
19006372,1498,132605603,Entire home/apt,Asheville,4,4.5,4,2,125
19737109,1498,30982884,Entire home/apt,Asheville,0,0,4,1,125
19531546,1498,48428279,Entire home/apt,Asheville,1,0,4,2,135
19548415,1498,26302902,Entire home/apt,Asheville,1,0,2,1,125
3741771,1498,2392127,Entire home/apt,Asheville,196,5,4,1,125
3369973,1498,12087030,Entire home/apt,Asheville,30,5,4,2,120
15880423,1498,61098873,Entire home/apt,Asheville,17,5,4,2,134
17095670,1498,46001530,Entire home/apt,Asheville,22,5,4,1,140
17917678,1498,122832025,Entire home/apt,Asheville,7,5,2,1,130
14649826,1498,4285304,Entire home/apt,Asheville,56,5,2,1,125
14352724,1498,7827938,Entire home/apt,Asheville,73,5,2,1,125
12871394,1498,7610213,Entire home/apt,Asheville,51,5,4,1,125
16147877,1498,27942972,Entire home/apt,Asheville,32,5,4,2,125
13027063,1498,71960528,Entire home/apt,Asheville,3,5,2,1,135
17140023,1498,115227864,Entire home/apt,Asheville,11,5,4,2,129
17708120,1498,13002007,Entire home/apt,Asheville,19,5,4,1,120
6544722,1498,20446462,Entire home/apt,Asheville,0,0,4,2,110
2072026,1498,8533528,Entire home/apt,Asheville,156,5,3,0,114
18631547,1498,129441443,Entire home/apt,Asheville,2,0,3,1,106
6184213,1498,22418650,Entire home/apt,Asheville,50,5,2,1,110
